5W1H,Close,のか,すか,う？,しょ？,ん？
5W1H,Who,誰が,どなたが,その人の名前は,誰やねん,どいつだ,だれなんだよ
5W1H,Where,何処に,どちらに,どのあたりに,どの方角に,どっちへ
5W1H,Why,なぜ,どうして,何故,なんで,何故ですか,何故でしょう
5W1H,How,どのぐらい,どれぐらい,いかほど,いくらぐらい,幾らぐらい
5W1H,What,なにが,何が,どれが,何処が
5W1H,When,何時,何時ごろ,いつ頃,いつから,いつぐらいから,何時ぐらいから
